"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweetid"
"1563","You know it is going to be a good game of League of Legends when both your support and jungler think the ranked gam ",FALSE,0,NA,2017-12-16 06:59:39,TRUE,NA,"941925776357814273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chromha",0,FALSE,FALSE,NA,NA,1563
"1564","Me: why do you need a mouse for your laptop?
Shannon: Im playing League of Legends, Kacie, GEEZ",FALSE,2,NA,2017-12-16 06:53:32,FALSE,NA,"941924237073190913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaciehennessy",0,FALSE,FALSE,NA,NA,1564
"1565","RT @WWG: ICYMI: Check out this League of Legends champion's new splash art. ",FALSE,0,NA,2017-12-16 06:51:48,FALSE,NA,"941923799997526016",NA,"<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix 2</a>","thunderpals",1,TRUE,FALSE,NA,NA,1565
"1566","RT @AceAnimatedBot: Series Source: League Of Legends ",FALSE,0,NA,2017-12-16 06:51:03,FALSE,NA,"941923612457566208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HangyakuNoLulu",26,TRUE,FALSE,NA,NA,1566
"1567","6 hours session of league of legends",FALSE,0,NA,2017-12-16 06:51:01,FALSE,NA,"941923601338519552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","subhodoesitall",0,FALSE,FALSE,NA,NA,1567
"1568","The Golden State Warriors made a League of Legends team lol. The Golden Guardians. Esports is the only thing keeping me alive at this point.",FALSE,3,NA,2017-12-16 06:50:53,FALSE,NA,"941923569172467712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iMartimus",0,FALSE,FALSE,NA,NA,1568
"1569","RT @digitalm4n: Test Stream playing League of Legends !! @StreamerTweets @Relay_RTs @help_streamers @DNRBOT @DNR_CR",FALSE,0,NA,2017-12-16 06:49:30,FALSE,NA,"941923220130877440",NA,"<a href=""https://www.discoveringmypathblog.wordpress.com"" rel=""nofollow"">4devsbydev</a>","4DevsByDev",11,TRUE,FALSE,NA,NA,1569
"1570","Omg I miss league of legends I think its considered lame but like that shit was pretty fun back in 8th grade good times",FALSE,0,NA,2017-12-16 06:49:26,FALSE,NA,"941923205677187072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prntbrt",0,FALSE,FALSE,NA,NA,1570
"1571","Found very nice software that breaks down all the hard disk space used by all the files on my system called SpaceSn ",FALSE,0,NA,2017-12-16 06:45:28,TRUE,NA,"941922204568109057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ambalos_Whee",0,FALSE,FALSE,NA,NA,1571
"1572","I liked a @YouTube video Rammix | League of Legends Community Collab",FALSE,1,NA,2017-12-16 06:44:51,FALSE,NA,"941922050951864321",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","HmoudHasan",0,FALSE,FALSE,NA,NA,1572
"1573","RT @jenny_rago1: I was a calm and collected person until I started playing this cursed game called league of legends",FALSE,0,NA,2017-12-16 06:44:21,FALSE,NA,"941921923675459584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bruehh",2,TRUE,FALSE,NA,NA,1573
"1574","master_noypi now streaming League of Legends ",FALSE,0,NA,2017-12-16 06:44:16,FALSE,NA,"941921904532840448",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AllenTheGeek",0,FALSE,FALSE,NA,NA,1574
"1575","RT @Barrus_Burr: #nsfw Veldrak has been needing this. Being taken by so many hot League studs is any kinky dragon's dream. Art is by -et on",FALSE,0,NA,2017-12-16 06:42:27,FALSE,NA,"941921444564529152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BalloonAyala",231,TRUE,FALSE,NA,NA,1575
"1576","@SeeTheirDesign I copy that story of League of legends is the lore of aurelion sol and zoe lol",FALSE,1,"SeeTheirDesign",2017-12-16 06:42:09,FALSE,"941921079609630721","941921369805213696","859165335869575168","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","francobravoxd",0,FALSE,FALSE,NA,NA,1576
